stage,model,split,RMSE,MAE,R2
1_sensors_only,LinearRegression,train,0.040408176089570834,0.025267095797316376,0.9921672760001705
1_sensors_only,LinearRegression,val,0.06247073740873681,0.0389240144494255,0.9870428193727787
1_sensors_only,LinearRegression,test,0.06320225889766286,0.04332398958843743,0.9867968547738606
1_sensors_only,RandomForest,train,0.010710692910835094,0.007593802163597098,0.9994496873918923
1_sensors_only,RandomForest,val,0.06494245531865075,0.020972437387864765,0.9859972073914
1_sensors_only,RandomForest,test,0.04182814461797685,0.01908161461117231,0.9942170504856089
1_sensors_only,XGBoost,train,0.0059135563416996325,0.004095857794152108,0.999832246416814
1_sensors_only,XGBoost,val,0.05590180348273001,0.014534129871771285,0.9896245035416269
1_sensors_only,XGBoost,test,0.035254026141227066,0.013254634325222387,0.9958920074858533
2_plus_regime,LinearRegression,train,0.039744855377546115,0.024948059170310916,0.9924223216017367
2_plus_regime,LinearRegression,val,0.05965015706746791,0.03776602772268476,0.9881864497944
2_plus_regime,LinearRegression,test,0.060536759906714255,0.04189808456025975,0.9878870327132712
2_plus_regime,RandomForest,train,0.010703169951043968,0.007593140878886423,0.9994504601758274
2_plus_regime,RandomForest,val,0.06426379032606169,0.020918807206508582,0.9862883435873924
2_plus_regime,RandomForest,test,0.04157766444248888,0.01908391898505061,0.9942861033753081
2_plus_regime,XGBoost,train,0.005728431844050476,0.0039734100801393345,0.9998425851035135
2_plus_regime,XGBoost,val,0.042913597350227685,0.012784902221159663,0.9938856950943055
2_plus_regime,XGBoost,test,0.028248771982146367,0.01225884758855309,0.9973623853560349
3_plus_physics_features,LinearRegression,train,0.03709101388101489,0.020249223840915587,0.9934004892997463
3_plus_physics_features,LinearRegression,val,0.05108685172058158,0.03134274750288987,0.9913348611244863
3_plus_physics_features,LinearRegression,test,0.05190218247685595,0.035145209245675976,0.9910960350946723
3_plus_physics_features,RandomForest,train,0.010673961517416534,0.007583380070290506,0.9994534554185606
3_plus_physics_features,RandomForest,val,0.06177488242661919,0.02069923823457449,0.9873298690588279
3_plus_physics_features,RandomForest,test,0.040730096214089254,0.01908041619025544,0.9945166865709113
3_plus_physics_features,XGBoost,train,0.006113792556305484,0.0042932741607432205,0.9998206936272276
3_plus_physics_features,XGBoost,val,0.04087830575416367,0.012997054844360784,0.9944519160544637
3_plus_physics_features,XGBoost,test,0.026518866356440168,0.012494053889269498,0.9976755398323747
4_physics_graph_model,GraphAttentionCOP,train,0.006583398860301636,0.004342196509242058,0.9997920989990234
4_physics_graph_model,GraphAttentionCOP,val,0.013644778059595505,0.006840493530035019,0.9993818402290344
4_physics_graph_model,GraphAttentionCOP,test,0.012752414854588542,0.00804884359240532,0.9994624853134155
