feature,mean_abs_shap_value
hdbscan_cluster,0.2277613
electrical_power_w,0.18989646
supply_air_temp_c,0.11160699
return_air_temp_c,0.064390875
supplemental_heat_power_w,0.04427782
pressure_ratio,0.011685168
airflow_cfm,0.0099502625
suction_pressure_psig,0.008747733
compressor_frequency_hz,0.005299275
high_side_pressure_psig,0.002647071
liquid_line_temp_c,0.002055471
suction_superheat_proxy_c,0.001923435
outdoor_temp_c,0.0016738011
liquid_subcool_proxy_c,0.0015940393
suction_line_temp_c,0.0014837498
eev_position_pct,0.0004901112
top_of_outdoor_unit_temp_c,0.0004024422
relative_humidity_pct,0.0003638648
