hdbscan_cluster,true_regime,feature,mean_abs_shap_value,n_rows
0,defrost,hdbscan_cluster,0.8344612717628479,961
0,defrost,supply_air_temp_c,0.32340800762176514,961
0,defrost,electrical_power_w,0.20922338962554932,961
0,defrost,supplemental_heat_power_w,0.15576134622097015,961
0,defrost,return_air_temp_c,0.03149363398551941,961
0,defrost,airflow_cfm,0.012865252792835236,961
0,defrost,pressure_ratio,0.006863682996481657,961
0,defrost,compressor_frequency_hz,0.003811598289757967,961
0,defrost,liquid_line_temp_c,0.002976123010739684,961
0,defrost,suction_superheat_proxy_c,0.002315768739208579,961
0,defrost,liquid_subcool_proxy_c,0.0022297310642898083,961
0,defrost,suction_pressure_psig,0.0014379958156496286,961
0,defrost,suction_line_temp_c,0.000871940515935421,961
0,defrost,high_side_pressure_psig,0.0006713721668347716,961
0,defrost,top_of_outdoor_unit_temp_c,0.0006389204645529389,961
0,defrost,outdoor_temp_c,0.0005738750915043056,961
0,defrost,eev_position_pct,0.0005435746279545128,961
0,defrost,relative_humidity_pct,0.00025849745725281537,961
1,steady_state_heating,electrical_power_w,0.18649400770664215,5459
1,steady_state_heating,hdbscan_cluster,0.12095773965120316,5459
1,steady_state_heating,supply_air_temp_c,0.07432173192501068,5459
1,steady_state_heating,return_air_temp_c,0.0701819658279419,5459
1,steady_state_heating,supplemental_heat_power_w,0.024652328342199326,5459
1,steady_state_heating,pressure_ratio,0.012533959001302719,5459
1,steady_state_heating,suction_pressure_psig,0.010034546256065369,5459
1,steady_state_heating,airflow_cfm,0.009437089785933495,5459
1,steady_state_heating,compressor_frequency_hz,0.005561166908591986,5459
1,steady_state_heating,high_side_pressure_psig,0.0029948728624731302,5459
1,steady_state_heating,liquid_line_temp_c,0.001893402193672955,5459
1,steady_state_heating,outdoor_temp_c,0.0018674256280064583,5459
1,steady_state_heating,suction_superheat_proxy_c,0.0018543702317401767,5459
1,steady_state_heating,suction_line_temp_c,0.0015914530958980322,5459
1,steady_state_heating,liquid_subcool_proxy_c,0.0014821303775534034,5459
1,steady_state_heating,eev_position_pct,0.0004806998185813427,5459
1,steady_state_heating,relative_humidity_pct,0.0003824134764727205,5459
1,steady_state_heating,top_of_outdoor_unit_temp_c,0.00036081208963878453,5459
